"MAKE","MODEL","TYPE","CYL","ENGINE L","FUEL TANK L","CONS. L/100km","RANGE km"
"Alfa  Romeo","4C","Passenger","4","1.7","40","6.8","588"
"MINI","Convertible","Passenger","3","1.5","40","5.6","714"
"Mazda","MX-5","Passenger","4","1.5","45","6.2","726"
"Toyota","Supra","Passenger","6","3.0","52","7.7","675"
"Ford","Mustang","Passenger","4","2.3","59","9.6","615"
"Hyundai","Veloster","Passenger","4","2.0","50","7.0","714"
"Hyundai","Veloster","Passenger","4","1.6","50","7.3","685"
"Rolls-Royce","Cullinan","SUV","12","6.7","90","15.1","596"
"Rolls-Royce","Phantom","Passenger","12","6.7","90","13.9","648"
"BMW","7  Series","Passenger","12","6.6","78","13.0","600"
"Chrysler","300","Passenger","8","6.4","70","13.0","539"
"Bentley","Flying  Spur","Passenger","12","6.0","90","14.8","608"
"Mercedes-Benz","S-Class","Passenger","12","6.0","80","12.7","630"
"Bentley","Bentayga","SUV","12","6.0","85","13.1","649"
"Lexus","LX","SUV","8","5.7","138","14.4","958"
"Nissan","Patrol","SUV","8","5.6","140","14.4","972"
"Land  Rover","Range  Rover","SUV","8","5.0","104","12.8","813"
"BMW","X7","SUV","8","4.4","83","11.6","716"
"BMW","7  Series","Passenger","8","4.4","78","10.1","772"
"Lamborghini","Urus","SUV","8","4.0","85","12.7","669"
"Bentley","Bentayga","SUV","8","4.0","85","11.4","746"
"Mercedes-Benz","G-Class","SUV","8","4.0","100","13.1","763"
"Porsche","Panamera","Passenger","8","4.0","90","10.9","826"
"Mercedes-Benz","S-Class","Passenger","8","4.0","80","8.5","941"
"Maserati","Quattroporte","Passenger","8","3.8","80","10.7","748"
"Lexus","LS","Passenger","6","3.5","82","6.6","1,242"
"Mercedes-Benz","S-Class","Passenger","6","3.0","70","8.4","833"
"Maserati","Quattroporte","Passenger","6","3.0","80","9.1","879"
"Audi","Q8","SUV","6","3.0","85","9.2","924"
"Porsche","Panamera","Passenger","6","3.0","75","7.8","962"
"Mercedes-Benz","GLS-Class","SUV","6","3.0","90","9.2","978"
"Audi","A8","Passenger","6","3.0","82","8.2","1,000"
"BMW","7  Series","Passenger","6","3.0","78","7.7","1,013"
"Land  Rover","Range  Rover","SUV","6","3.0","104","9.4","1,106"
"Chrysler","300","Passenger","6","3.6","70","9.7","722"
"LDV","G10","Light  Commercial","4","2.0","75","11.7","641"
"Volkswagen","Caddy","Light  Commercial","4","1.4","55","6.0","917"
"Renault","Kangoo","Light  Commercial","4","1.2","56","6.2","903"
"Volkswagen","Caddy","Light  Commercial","4","1.2","55","5.9","932"
"Toyota","Hiace","Light  Commercial","6","3.5","70","12.4","565"
